Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00089,Female,No,2,Graduate,,8244,0,297,360,1.0,Semiurban,Y
LP00090,Male,Yes,0,Graduate,Yes,2101,2027,142,360,1.0,Urban,Y
LP00091,Male,No,2,Graduate,No,2463,0,163,360,0.0,Rural,N
LP00092,Male,Yes,3+,Not Graduate,No,894,2945,172,360,1.0,Rural,Y
LP00093,Female,Yes,0,Graduate,No,3024,1118,145,360,1.0,Rural,Y
LP00094,Male,Yes,,Not Graduate,No,8725,5641,435,360,1.0,Urban,Y
LP00095,Female,Yes,0,Graduate,No,6702,0,266,360,1.0,Urban,Y
LP00096,Male,Yes,2,Graduate,No,4303,0,167,360,0.0,Rural,Y
LP00097,Male,Yes,1,Not Graduate,Yes,4849,2261,210,360,1.0,Urban,Y
LP00098,Male,Yes,1,Graduate,Yes,3250,2500,197,360,1.0,Semiurban,Y
LP00099,Male,No,2,Graduate,No,5557,2730,267,360,1.0,Semiurban,Y
LP00100,Male,Yes,0,Graduate,Yes,7781,0,274,240,1.0,Semiurban,Y
LP00101,Male,Yes,3+,Graduate,No,1863,2068,156,360,1.0,Rural,Y
LP00102,Male,No,0,Graduate,No,5882,2244,256,360,1.0,Semiurban,Y
LP00103,Male,No,0,Not Graduate,No,8599,0,284,180,1.0,Semiurban,Y
LP00104,,No,1,Graduate,No,3831,0,167,180,1.0,Semiurban,Y
LP00105,Female,No,2,Graduate,No,7483,2776,337,360,1.0,Urban,N
LP00106,Male,Yes,0,Graduate,No,26603,1818,700,360,1.0,Urban,Y
LP00107,Male,Yes,2,Graduate,No,4616,643,219,360,0.0,Urban,N
LP00108,Female,No,3+,Graduate,Yes,6222,6708,335,360,1.0,Semiurban,Y
LP00109,Male,No,0,Graduate,,3156,1033,153,180,0.0,Semiurban,Y
LP00110,Male,Yes,3+,Graduate,No,5479,1613,241,360,1.0,Urban,N
LP00111,Male,No,0,Graduate,No,6477,0,231,360,1.0,Semiurban,Y
LP00112,Male,Yes,0,Graduate,No,5524,0,204,360,1.0,Semiurban,Y
LP00113,Female,Yes,0,Graduate,Yes,2665,857,184,360,1.0,Semiurban,Y
LP00114,Female,Yes,2,Graduate,Yes,5562,551,210,360,1.0,Rural,Y
LP00115,Male,,1,Graduate,No,11817,4042,534,180,1.0,Urban,Y
LP00116,Female,Yes,0,Not Graduate,No,6432,1666,285,360,1.0,Semiurban,Y
LP00117,Female,Yes,0,Graduate,No,8753,0,314,360,1.0,Semiurban,Y
LP00118,Male,No,1,Graduate,No,4263,1216,211,360,1.0,Rural,Y
LP00119,Female,Yes,0,Graduate,No,7707,0,331,360,1.0,Urban,Y
LP00120,Male,Yes,2,Graduate,No,5811,1642,237,360,1.0,Urban,Y
LP00121,Female,No,2,Graduate,No,2777,2893,168,240,1.0,Urban,Y
LP00122,Female,No,0,Graduate,No,5949,1756,248,360,1.0,Rural,Y
LP00123,Male,No,3+,Graduate,No,2710,3746,206,180,1.0,Rural,Y
LP00124,Male,No,0,Graduate,No,3361,0,116,360,1.0,Urban,Y
LP00125,Male,No,3+,Graduate,No,5506,927,234,360,0.0,Urban,N
LP00126,Male,Yes,1,Graduate,No,5874,0,260,360,1.0,Semiurban,Y
LP00127,Female,Yes,1,Graduate,No,2407,514,135,360,1.0,Rural,Y
LP00128,Female,Yes,0,Graduate,No,9250,1698,355,240,,Urban,N
LP00129,Male,Yes,2,Not Graduate,No,6927,1976,284,360,1.0,Semiurban,N
LP00130,Male,Yes,0,Not Graduate,Yes,3220,1568,195,360,0.0,Rural,Y
LP00131,Male,No,0,Not Graduate,No,1953,0,92,360,0.0,Rural,N
LP00132,Male,Yes,0,Not Graduate,No,4505,5765,337,240,1.0,Rural,Y
LP00133,Male,Yes,1,Not Graduate,No,3760,0,201,360,1.0,Rural,Y
LP00134,Male,Yes,0,Graduate,No,5259,695,226,360,1.0,Rural,Y
LP00135,Female,No,1,Graduate,No,3952,0,168,360,1.0,Semiurban,Y
LP00136,Male,Yes,2,Graduate,Yes,1473,0,114,360,1.0,Rural,Y
LP00137,Male,No,0,Graduate,No,3893,1540,219,360,1.0,Rural,Y
LP00138,Male,Yes,1,Graduate,No,4091,1497,186,180,1.0,Semiurban,Y
LP00139,Male,Yes,0,Graduate,No,7188,0,255,360,1.0,Semiurban,Y
LP00140,Female,Yes,2,Graduate,No,3232,0,120,360,1.0,Rural,N
LP00141,Female,No,,Graduate,No,13456,1564,493,360,1.0,Semiurban,Y
LP00142,Male,Yes,0,Not Graduate,Yes,1560,0,110,360,1.0,Rural,Y
LP00143,Male,No,1,Graduate,Yes,10793,0,346,360,0.0,Semiurban,N
LP00144,Male,Yes,0,Graduate,No,4295,1290,195,480,1.0,Semiurban,Y
LP00145,Male,Yes,0,Graduate,No,8231,0,269,180,1.0,Urban,Y
LP00146,Male,No,2,Graduate,No,5155,1229,211,180,0.0,Semiurban,N
LP00147,Male,No,0,Not Graduate,Yes,9737,786,368,180,0.0,Urban,N
LP00148,Male,No,0,Graduate,No,3895,3186,215,360,1.0,Urban,Y
LP00149,Male,No,0,Not Graduate,No,2542,1377,147,360,1.0,Semiurban,Y
LP00150,Male,No,2,Graduate,No,11525,3056,424,360,1.0,Semiurban,Y
LP00151,Female,No,0,Graduate,Yes,4591,0,191,360,1.0,Urban,Y
LP00152,Male,No,0,Graduate,Yes,5613,0,217,360,1.0,Semiurban,Y
LP00153,Male,No,1,Graduate,No,10309,3907,422,360,0.0,Rural,N
LP00154,Male,No,2,Graduate,No,2646,0,125,360,1.0,Urban,Y
LP00155,Female,Yes,0,Graduate,No,7025,866,281,180,1.0,Semiurban,Y
LP00156,Male,No,0,Graduate,Yes,3449,7868,294,360,1.0,Urban,Y
LP00157,Male,Yes,0,Not Graduate,No,4540,0,156,240,1.0,Semiurban,Y
LP00158,Female,No,0,Graduate,No,5132,1361,267,360,1.0,Semiurban,Y
LP00159,Male,No,0,Not Graduate,No,1997,499,107,360,1.0,Semiurban,Y
LP00160,Male,Yes,1,Graduate,No,3080,1909,178,360,1.0,Rural,Y
LP00161,Male,No,1,Graduate,No,11055,2080,443,360,1.0,Rural,Y
LP00162,Male,Yes,1,Graduate,Yes,8364,4027,452,360,1.0,Rural,Y
LP00163,Male,Yes,0,Graduate,No,4733,916,185,360,1.0,Semiurban,Y
LP00164,Male,No,2,Graduate,No,5686,842,246,360,0.0,Semiurban,Y
LP00165,Male,Yes,0,Graduate,No,4119,3346,226,360,1.0,Urban,Y
LP00166,Female,No,3+,Graduate,No,11091,0,371,360,0.0,Rural,Y
LP00167,Male,No,1,Not Graduate,No,4358,0,166,360,1.0,Rural,Y
LP00168,Male,Yes,0,Graduate,Yes,5648,5203,300,360,1.0,Semiurban,Y
LP00169,Male,Yes,1,Graduate,No,9775,0,342,360,1.0,Semiurban,Y
LP00170,Male,Yes,0,Graduate,Yes,3082,0,112,360,1.0,Urban,Y
LP00171,Male,Yes,1,Graduate,No,12522,2323,491,360,0.0,Rural,N
LP00172,Male,No,0,Graduate,No,1962,0,109,360,0.0,Rural,N
LP00173,Male,Yes,0,Graduate,No,13066,2194,494,360,1.0,Urban,N
LP00174,Male,Yes,2,Graduate,No,3929,5126,261,360,1.0,Rural,Y
LP00175,Male,Yes,0,Graduate,No,4248,1305,196,360,1.0,Urban,Y
LP00176,Male,Yes,2,Graduate,No,1581,1860,140,360,0.0,Rural,N
LP00177,Male,No,0,Graduate,No,3741,0,138,360,1.0,Rural,Y
LP00178,Male,Yes,1,Not Graduate,No,2633,320,128,360,,Rural,Y
LP00179,Female,No,1,Not Graduate,No,3413,7863,292,360,1.0,Semiurban,N
LP00180,Male,Yes,0,Graduate,No,4526,1298,193,360,1.0,Semiurban,Y
LP00181,Male,No,0,Graduate,No,8731,3477,339,360,0.0,Urban,Y
LP00182,Male,Yes,0,Graduate,No,5566,0,243,360,1.0,Urban,Y
LP00183,Female,Yes,0,Graduate,No,5911,5886,331,360,1.0,Rural,Y
LP00184,Female,No,0,Graduate,No,2547,0,149,360,1.0,Semiurban,Y
LP00185,Male,Yes,1,Graduate,Yes,2897,2070,199,360,1.0,Semiurban,Y
LP00186,Male,No,3+,Graduate,No,14461,1305,484,360,1.0,Rural,Y
LP00187,Female,No,2,Graduate,Yes,3161,0,123,360,1.0,Semiurban,Y
LP00188,Male,Yes,,Graduate,No,13276,0,499,84,0.0,Semiurban,N
LP00189,Male,Yes,2,Not Graduate,No,4247,0,212,120,1.0,Urban,Y
LP00190,Male,No,1,Not Graduate,No,4921,1130,219,360,1.0,Urban,Y
LP00191,Male,Yes,0,Graduate,No,9341,5864,452,360,1.0,Semiurban,N
LP00192,Female,Yes,3+,Not Graduate,No,10542,0,353,360,1.0,Rural,Y
LP00193,Female,Yes,1,Not Graduate,No,4598,3831,273,360,0.0,Urban,Y
LP00194,Male,Yes,1,Graduate,No,3893,0,152,180,1.0,Rural,Y
LP00195,,Yes,0,Graduate,No,4752,715,166,120,1.0,Urban,Y
LP00196,Male,No,0,Graduate,No,6019,0,204,360,1.0,Semiurban,Y
LP00197,Male,No,0,Not Graduate,Yes,8389,3907,380,360,1.0,Semiurban,Y
LP00198,Female,No,2,Not Graduate,No,4927,2742,230,360,1.0,Semiurban,Y
LP00199,Female,No,0,Graduate,No,7124,5578,373,360,0.0,Urban,Y
LP00200,Female,Yes,0,Graduate,No,13134,3236,487,240,1.0,Semiurban,Y
LP00201,Male,No,3+,Graduate,No,6178,1240,244,180,1.0,Urban,Y
LP00202,Male,Yes,0,Graduate,,5925,1397,272,360,1.0,Urban,Y
LP00203,,Yes,0,Graduate,Yes,1975,2622,166,360,1.0,Semiurban,N
LP00204,Female,Yes,0,Not Graduate,No,1013,483,89,360,1.0,Semiurban,Y
LP00205,Male,Yes,1,Graduate,Yes,6204,7874,411,360,0.0,Rural,N
LP00206,Male,No,3+,Not Graduate,No,4642,0,198,180,1.0,Rural,Y
LP00207,Male,No,0,Not Graduate,No,3608,5761,302,360,1.0,Semiurban,N
LP00208,Male,Yes,2,Graduate,No,5688,0,211,360,1.0,Semiurban,Y
LP00209,Male,Yes,0,Graduate,Yes,4739,5832,300,360,,Rural,Y
LP00210,Male,No,3+,Graduate,Yes,9668,11638,546,180,1.0,Semiurban,Y
LP00211,Male,Yes,2,Graduate,Yes,5175,968,216,360,0.0,Rural,N
LP00212,Male,Yes,,Graduate,No,3139,0,163,180,1.0,Semiurban,N
LP00213,Male,Yes,0,Graduate,No,8902,0,343,180,0.0,Rural,N
LP00214,Male,No,3+,Graduate,No,4314,827,215,120,1.0,Semiurban,Y
LP00215,Male,No,1,Graduate,No,6740,3446,285,360,1.0,Rural,Y
LP00216,Male,Yes,0,Graduate,No,3690,0,182,360,1.0,Semiurban,Y
LP00217,Male,Yes,,Graduate,Yes,3327,1602,145,360,1.0,Urban,N
LP00218,Male,No,,Graduate,No,5169,5520,333,360,1.0,Semiurban,Y
LP00219,Male,No,2,Graduate,No,4952,759,206,360,1.0,Semiurban,Y
LP00220,Female,Yes,0,Graduate,No,6554,0,260,360,1.0,Rural,Y
LP00221,Male,No,1,Graduate,No,4183,2685,202,360,1.0,Urban,Y
LP00222,Male,Yes,0,Graduate,No,1633,0,122,180,0.0,Rural,N
LP00223,Male,Yes,0,Graduate,No,3790,1477,163,360,1.0,Urban,N
LP00224,Male,No,0,Graduate,No,7913,0,274,360,0.0,Rural,N
LP00225,Male,Yes,0,Graduate,No,4111,0,153,360,1.0,Urban,Y
LP00226,Male,Yes,0,Not Graduate,No,4239,0,142,360,1.0,Rural,Y
LP00227,Female,Yes,0,Graduate,No,8882,0,318,180,1.0,Rural,Y
LP00228,Male,Yes,1,Graduate,No,3206,3721,256,360,1.0,Semiurban,Y
LP00229,Female,No,0,Graduate,No,1947,0,161,240,0.0,Rural,N
LP00230,Male,Yes,0,Graduate,No,4463,0,185,360,1.0,Rural,Y
LP00231,Female,No,1,Graduate,No,3675,1381,210,360,0.0,Semiurban,N
LP00232,Male,Yes,0,Graduate,No,2752,0,137,360,0.0,Urban,N
LP00233,Male,Yes,3+,Graduate,No,4423,0,192,360,1.0,Semiurban,Y
LP00234,,Yes,2,Graduate,No,6600,931,259,360,0.0,Rural,N
LP00235,Male,No,1,Graduate,Yes,4887,6359,327,360,1.0,Semiurban,Y
LP00236,Male,Yes,1,Graduate,No,5908,2665,291,360,0.0,Semiurban,N
LP00237,Male,No,2,Graduate,Yes,14589,4428,564,360,1.0,Urban,Y
LP00238,Male,Yes,0,Not Graduate,No,4000,5748,283,360,1.0,Urban,N
LP00239,Male,No,0,Graduate,No,5808,0,223,240,0.0,Rural,N
LP00240,Male,Yes,0,Graduate,No,3620,1612,207,360,1.0,Rural,Y
LP00241,Female,No,2,Graduate,No,2957,4831,214,360,1.0,Urban,Y
LP00242,Female,No,0,Graduate,No,3460,2441,201,360,1.0,Semiurban,Y
LP00243,Female,No,1,Graduate,No,3687,3944,277,240,1.0,Rural,Y
LP00244,,No,3+,Graduate,No,6097,0,256,180,1.0,Urban,Y
LP00245,Male,No,2,Graduate,No,20119,3337,700,360,0.0,Urban,Y
LP00246,Female,Yes,0,Graduate,No,3198,1560,177,360,1.0,Semiurban,Y
LP00247,Male,Yes,0,Graduate,No,3827,7764,326,360,1.0,Urban,Y
LP00248,Female,Yes,2,Graduate,Yes,4732,0,212,84,1.0,Semiurban,Y
LP00249,Female,No,1,Not Graduate,No,6232,0,268,180,1.0,Rural,Y
LP00250,Female,Yes,0,Graduate,No,5756,0,183,180,1.0,Urban,Y
LP00251,Male,No,0,Graduate,No,10619,1213,366,360,1.0,Rural,Y
LP00252,Male,Yes,3+,Graduate,Yes,1146,0,110,360,0.0,Urban,N
LP00253,Female,Yes,1,Graduate,No,1173,0,79,180,1.0,Semiurban,Y
LP00254,Male,Yes,2,Graduate,No,3649,3213,210,360,1.0,Rural,Y
LP00255,Male,No,2,Graduate,No,9493,0,309,360,0.0,Urban,N
LP00256,Male,Yes,1,Graduate,No,1921,1638,129,360,1.0,Semiurban,Y
LP00257,Female,Yes,0,Graduate,No,808,0,46,240,1.0,Urban,Y
LP00258,Male,Yes,0,Graduate,No,6923,2511,349,360,1.0,Semiurban,Y
LP00259,Male,Yes,0,Graduate,No,5688,3309,286,360,0.0,Rural,N
LP00260,Male,Yes,0,Not Graduate,No,2555,1852,162,360,1.0,Urban,N
LP00261,Male,Yes,2,Graduate,Yes,2720,3556,214,360,1.0,Rural,Y
LP00262,Female,No,1,Graduate,No,2746,0,151,360,1.0,Semiurban,Y
LP00263,Male,Yes,2,Graduate,No,5251,0,226,360,1.0,Urban,Y
LP00264,Male,Yes,0,Graduate,No,3375,0,172,360,1.0,Rural,Y
LP00265,Female,Yes,1,Not Graduate,No,6610,4466,325,360,1.0,Rural,N
LP00266,,Yes,1,Graduate,No,886,2751,125,84,1.0,Semiurban,Y
LP00267,Male,Yes,1,Graduate,No,2939,5469,262,180,1.0,Semiurban,N
LP00268,Male,Yes,1,Graduate,Yes,2500,1040,135,360,1.0,Semiurban,Y
LP00269,Male,Yes,0,Graduate,No,4214,0,176,240,1.0,Urban,N
LP00270,Male,Yes,0,Graduate,No,3558,1075,186,360,1.0,Rural,Y
LP00271,Female,No,0,Graduate,No,7932,1118,326,360,0.0,Rural,Y
LP00272,Female,No,0,Graduate,No,1610,0,62,360,1.0,Urban,Y
LP00273,Female,No,0,Graduate,No,5050,1262,241,360,1.0,Rural,Y
LP00274,Female,Yes,1,Graduate,No,6870,0,251,360,0.0,Urban,Y
LP00275,Male,Yes,3+,Not Graduate,No,14972,2100,555,360,1.0,Semiurban,Y
LP00276,Male,Yes,1,Not Graduate,No,3681,4385,263,360,1.0,Urban,Y
LP00277,Female,,1,Not Graduate,No,5971,0,261,360,1.0,Rural,Y
LP00278,Male,No,0,Graduate,No,1665,804,143,360,1.0,Rural,Y
LP00279,Male,Yes,1,Graduate,Yes,1170,0,112,360,0.0,Urban,Y
LP00280,Female,Yes,0,Not Graduate,No,8158,1358,350,360,1.0,Urban,N
LP00281,Female,Yes,0,Graduate,No,4898,2342,249,360,1.0,Rural,Y
LP00282,Male,No,0,Graduate,No,9967,0,349,360,1.0,Urban,Y
LP00283,Male,Yes,0,Not Graduate,No,2155,2806,188,360,1.0,Semiurban,Y
LP00284,Male,Yes,0,Not Graduate,Yes,6713,5249,371,360,1.0,Rural,Y
LP00285,Male,Yes,0,Graduate,No,15082,0,496,360,1.0,Rural,Y
LP00286,Male,Yes,0,Graduate,No,6322,0,247,180,1.0,Semiurban,Y
LP00287,Male,Yes,3+,Graduate,No,5801,11214,447,240,1.0,Urban,Y
LP00288,Male,Yes,0,Not Graduate,No,4940,2796,237,180,0.0,Urban,N
LP00289,Male,Yes,0,Not Graduate,No,1914,0,133,360,1.0,Semiurban,Y
LP00290,Male,Yes,0,Graduate,No,11084,0,383,360,1.0,Rural,Y
LP00291,Male,Yes,1,Graduate,No,3406,0,193,84,1.0,Urban,N
LP00292,Male,Yes,0,Not Graduate,Yes,6652,3227,281,360,1.0,Rural,Y
LP00293,Female,Yes,0,Graduate,No,1924,0,96,360,1.0,Semiurban,Y
LP00294,Male,No,0,Graduate,No,2421,0,123,360,1.0,Urban,Y
LP00295,Male,No,0,Not Graduate,No,11626,1953,460,360,1.0,Semiurban,Y
LP00296,Male,Yes,0,Graduate,No,3990,2648,230,84,1.0,Rural,N
LP00297,Female,Yes,0,Graduate,No,11754,0,408,360,0.0,Urban,Y
LP00298,Male,Yes,0,Graduate,No,4689,850,185,360,1.0,Urban,Y
LP00299,Male,Yes,0,Graduate,No,1627,616,87,360,1.0,Semiurban,Y
LP00300,Male,No,0,Not Graduate,No,8393,0,308,360,1.0,Semiurban,Y
LP00301,Male,Yes,2,Graduate,Yes,3449,0,126,360,1.0,Semiurban,Y
LP00302,Male,No,1,Not Graduate,No,7474,1812,299,360,1.0,Semiurban,Y
LP00303,Male,Yes,0,Graduate,No,4989,0,209,360,0.0,Urban,N
LP00304,Male,Yes,0,Graduate,No,1947,1308,114,360,1.0,Urban,N
LP00305,,No,3+,Graduate,No,5423,898,262,360,1.0,Urban,Y
LP00306,Female,No,0,Graduate,Yes,18356,0,625,360,1.0,Urban,Y
LP00307,Male,No,0,Graduate,No,6606,0,216,360,0.0,Semiurban,Y
LP00308,Male,No,1,Graduate,No,4748,745,188,360,1.0,Semiurban,Y
LP00309,Female,Yes,0,Graduate,No,9369,4333,372,360,1.0,Semiurban,Y
LP00310,Male,No,0,Graduate,No,5576,4324,288,180,1.0,Rural,Y
LP00311,Male,Yes,0,Graduate,No,5573,4759,327,180,1.0,Urban,Y
LP00312,Male,No,2,Graduate,No,2553,0,118,360,1.0,Semiurban,N
LP00313,Male,Yes,0,Graduate,Yes,5655,11400,456,360,1.0,Semiurban,Y
LP00314,Female,No,1,Graduate,No,9147,1902,332,360,1.0,Rural,Y
LP00315,Female,Yes,3+,Graduate,No,2976,2635,207,360,1.0,Rural,Y
LP00316,Male,Yes,0,Graduate,No,11552,0,385,360,,Urban,N
LP00317,Male,Yes,0,Graduate,No,4651,0,189,84,1.0,Urban,Y
LP00318,Male,No,0,Graduate,Yes,2885,7136,277,360,0.0,Semiurban,N
LP00319,Male,Yes,0,Not Graduate,No,8942,951,311,84,1.0,Rural,Y
LP00320,Male,Yes,,Graduate,No,4137,0,151,360,1.0,Rural,Y
LP00321,Male,Yes,3+,Graduate,No,7752,0,301,360,1.0,Semiurban,Y
LP00322,Male,Yes,1,Graduate,No,4125,4984,281,360,1.0,Rural,Y
LP00323,Male,No,1,Graduate,No,4741,1892,251,360,1.0,Rural,Y
LP00324,Male,Yes,0,Graduate,No,6608,0,254,360,1.0,Semiurban,Y
LP00325,Female,No,2,Not Graduate,No,5851,0,228,360,1.0,Urban,N
LP00326,Male,Yes,3+,Graduate,No,1484,0,59,360,1.0,Semiurban,Y
LP00327,Male,Yes,2,Not Graduate,Yes,2508,2571,171,360,1.0,Semiurban,Y
LP00328,Male,No,0,Graduate,No,8583,5003,407,360,1.0,Rural,Y
LP00329,Male,No,1,Graduate,Yes,4540,15512,535,360,1.0,Semiurban,Y
LP00330,Male,,0,Graduate,No,3589,3709,245,360,1.0,Rural,Y
